CDIGO DO MUNICPIO - TOM,CDIGO DO MUNICPIO - IBGE,MUNICPIO - TOM,MUNICIPIOS,UF,ESTADO
105,1200104,BRASILEIA,Brasiléia,AC,Acre
107,1200203,CRUZEIRO DO SUL,Cruzeiro do Sul,AC,Acre
109,1200336,MNCIO LIMA,Mncio Lima,AC,Acre
113,1200302,FEIJ,Feij,AC,Acre
139,1200401,RIO BRANCO,Rio Branco,AC,Acre
145,1200500,SENA MADUREIRA,Sena Madureira,AC,Acre
147,1200609,TARAUAC,Tarauac,AC,Acre
149,1200708,XAPURI,Xapuri,AC,Acre
151,1200385,PLCIDO DE CASTRO,Plcido de Castro,AC,Acre
153,1200450,SENADOR GUIOMARD,Senador Guiomard,AC,Acre
155,1200344,MANOEL URBANO,Manoel Urbano,AC,Acre
157,1200054,ASSIS BRASIL,Assis Brasil,AC,Acre
643,1200013,ACRELNDIA,Acrelndia,AC,Acre
645,1200138,BUJARI,Bujari,AC,Acre
647,1200179,CAPIXABA,Capixaba,AC,Acre
649,1200807,PORTO ACRE,Porto Acre,AC,Acre
651,1200252,EPITACIOLNDIA,Epitaciolndia,AC,Acre
653,1200328,JORDO,Jordo,AC,Acre
655,1200351,MARECHAL THAUMATURGO,Marechal Thaumaturgo,AC,Acre
657,1200393,PORTO WALTER,Porto Walter,AC,Acre
659,1200427,RODRIGUES ALVES,Rodrigues Alves,AC,Acre
661,1200435,SANTA ROSA DO PURUS,Santa Rosa do Purus,AC,Acre
560,2701357,CAMPESTRE,Campestre,AL,Alagoas
562,2703759,JEQUI DA PRAIA,Jequi da Praia,AL,Alagoas
971,2709152,TEOTNIO VILELA,Teotnio Vilela,AL,Alagoas
2641,2706448,PARIPUEIRA,Paripueira,AL,Alagoas
2643,2702553,ESTRELA DE ALAGOAS,Estrela de Alagoas,AL,Alagoas
2645,2706422,PARICONHA,Pariconha,AL,Alagoas
2701,2700102,GUA BRANCA,gua Branca,AL,Alagoas
2703,2700201,ANADIA,Anadia,AL,Alagoas
2705,2700300,ARAPIRACA,Arapiraca,AL,Alagoas
2707,2700409,ATALAIA,Atalaia,AL,Alagoas
2709,2700508,BARRA DE SANTO ANTNIO,Barra de Santo Antnio,AL,Alagoas
2711,2700607,BARRA DE SO MIGUEL,Barra de So Miguel,AL,Alagoas
2713,2700706,BATALHA,Batalha,AL,Alagoas
2715,2700805,BELM,Belm,AL,Alagoas
2717,2700904,BELO MONTE,Belo Monte,AL,Alagoas
2719,2701001,BOCA DA MATA,Boca da Mata,AL,Alagoas
2721,2701100,BRANQUINHA,Branquinha,AL,Alagoas
2723,2701209,CACIMBINHAS,Cacimbinhas,AL,Alagoas
2725,2701308,CAJUEIRO,Cajueiro,AL,Alagoas
2727,2701407,CAMPO ALEGRE,Campo Alegre,AL,Alagoas
2729,2701506,CAMPO GRANDE,Campo Grande,AL,Alagoas
2731,2701605,CANAPI,Canapi,AL,Alagoas
2733,2701704,CAPELA,Capela,AL,Alagoas
2735,2701803,CARNEIROS,Carneiros,AL,Alagoas
2737,2701902,CH PRETA,Ch Preta,AL,Alagoas
2739,2702009,COIT DO NIA,Coit do Nia,AL,Alagoas
2741,2702108,COLNIA LEOPOLDINA,Colnia Leopoldina,AL,Alagoas
2743,2702207,COQUEIRO SECO,Coqueiro Seco,AL,Alagoas
2745,2702306,CORURIPE,Coruripe,AL,Alagoas
2747,2702405,DELMIRO GOUVEIA,Delmiro Gouveia,AL,Alagoas
2749,2702504,DOIS RIACHOS,Dois Riachos,AL,Alagoas
2751,2702603,FEIRA GRANDE,Feira Grande,AL,Alagoas
2753,2702702,FELIZ DESERTO,Feliz Deserto,AL,Alagoas
2755,2702801,FLEXEIRAS,Flexeiras,AL,Alagoas
2757,2702900,GIRAU DO PONCIANO,Girau do Ponciano,AL,Alagoas
2759,2703007,IBATEGUARA,Ibateguara,AL,Alagoas
2761,2703106,IGACI,Igaci,AL,Alagoas
2763,2703205,IGREJA NOVA,Igreja Nova,AL,Alagoas
2765,2703304,INHAPI,Inhapi,AL,Alagoas
2767,2703403,JACAR DOS HOMENS,Jacar dos Homens,AL,Alagoas
2769,2703502,JACUPE,Jacupe,AL,Alagoas
2771,2703601,JAPARATINGA,Japaratinga,AL,Alagoas
2773,2703700,JARAMATAIA,Jaramataia,AL,Alagoas
2775,2703809,JOAQUIM GOMES,Joaquim Gomes,AL,Alagoas
2777,2703908,JUNDI,Jundi,AL,Alagoas
2779,2704005,JUNQUEIRO,Junqueiro,AL,Alagoas
2781,2704104,LAGOA DA CANOA,Lagoa da Canoa,AL,Alagoas
2783,2704203,LIMOEIRO DE ANADIA,Limoeiro de Anadia,AL,Alagoas
2785,2704302,MACEI,Macei,AL,Alagoas
2787,2704401,MAJOR ISIDORO,Major Isidoro,AL,Alagoas
2789,2704500,MARAGOGI,Maragogi,AL,Alagoas
2791,2704609,MARAVILHA,Maravilha,AL,Alagoas
2793,2704708,MARECHAL DEODORO,Marechal Deodoro,AL,Alagoas
2795,2704807,MARIBONDO,Maribondo,AL,Alagoas
2797,2704906,MAR VERMELHO,Mar Vermelho,AL,Alagoas
2799,2705002,MATA GRANDE,Mata Grande,AL,Alagoas
2801,2705101,MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,AL,Alagoas
2803,2705200,MESSIAS,Messias,AL,Alagoas
2805,2705309,MINADOR DO NEGRO,Minador do Negro,AL,Alagoas
2807,2705408,MONTEIRPOLIS,Monteirpolis,AL,Alagoas
2809,2705507,MURICI,Murici,AL,Alagoas
2811,2705606,NOVO LINO,Novo Lino,AL,Alagoas
2813,2705705,OLHO D'GUA DAS FLORES,Olho d'gua das Flores,AL,Alagoas
2815,2705804,OLHO D'GUA DO CASADO,Olho d'gua do Casado,AL,Alagoas
2817,2705903,OLHO D'GUA GRANDE,Olho d'gua Grande,AL,Alagoas
2819,2706000,OLIVENA,Olivena,AL,Alagoas
2821,2706109,OURO BRANCO,Ouro Branco,AL,Alagoas
2823,2706208,PALESTINA,Palestina,AL,Alagoas
2825,2706307,PALMEIRA DOS NDIOS,Palmeira dos ndios,AL,Alagoas
2827,2706406,PO DE ACAR,Po de Acar,AL,Alagoas
2829,2706505,PASSO DE CAMARAGIBE,Passo de Camaragibe,AL,Alagoas
2831,2706604,PAULO JACINTO,Paulo Jacinto,AL,Alagoas
2833,2706703,PENEDO,Penedo,AL,Alagoas
2835,2706802,PIAABUU,Piaabuu,AL,Alagoas
2837,2706901,PILAR,Pilar,AL,Alagoas
2839,2707008,PINDOBA,Pindoba,AL,Alagoas
2841,2707107,PIRANHAS,Piranhas,AL,Alagoas
